category,project_type,stand_number,title,county,school,project_type_raw
Social & Behavioural Sciences,Group,3530,Are politicians more or less likely to exhibit Machiavellian traits than the general population?,Louth,St Vincent's Secondary School,Group (3)
Social & Behavioural Sciences,Group,3531,Life without a buzz : The impact of Yondr pouches on daily life,Galway,Coláiste Muire Máthair,Group (2)
Social & Behavioural Sciences,Group,3532,Who Will Farm Tomorrow: No Sowers today means no harvest tomorrow!,Cork,Millstreet Community School,Group (3)
Social & Behavioural Sciences,Group,3533,How coaches influence female players,Dublin,Holy Faith Secondary School,Group (3)
Social & Behavioural Sciences,Group,3534,An investigation into how TV shows impact career choices and expectations.,Donegal,St. Columba's College,Group (2)
Social & Behavioural Sciences,Group,3535,An Fholús Fhíorúil: Tionchar na Meán Sóisialta ar meabhairshláinte,Galway,Coláiste Ghobnait,Group (2)
Social & Behavioural Sciences,Group,3536,Are Teens victim to Conformity? A behavioral study,Cork,Coláiste Choilm,Group (3)
Social & Behavioural Sciences,Group,3537,Farming in a changing climate: How climate change affects farmers and farms,Cork,Colaiste Treasa,Group (3)
Social & Behavioural Sciences,Group,3538,Comparing the ability to multitask between male adults and male teens in different environments.,Cork,Árdscoil Uí Urmoltaigh,Group (2)
Social & Behavioural Sciences,Group,3539,Silence of the stressed,Dublin,St. Seton's Secondary School,Group (2)
Social & Behavioural Sciences,Group,3540,How Could American Tariffs Affect Ireland?​,Dublin,St Andrews College,Group (2)
Social & Behavioural Sciences,Group,3541,Who Wrote That? Can people tell the difference between music composed by AI and by humans?,Dublin,Santa Sabina Dominican College,Group (3)
Social & Behavioural Sciences,Group,3542,Why Do Pedestrians Jaywalk?,Cork,Midleton College,Group (2)
Social & Behavioural Sciences,Group,3543,Muintir na hÉireann agus an phictiúrlann; Anailís ar rátaí freastail agus imscrúdú ar fhachtóirí tionchair.,Donegal,Pobalscoil Ghaoth Dobhair,Group (3)
Social & Behavioural Sciences,Group,3544,Digital Puberty: Investigating How Social Media Shapes Maturity in Irish Female Teenagers Compared to Older Female Generations,Dublin,Loreto Secondary School Balbriggan,Group (2)
Social & Behavioural Sciences,Group,3545,"How early is too early? The link between the age joining social media, screen time and beauty influencer exposure.",Laois,Heywood Community School,Group (2)
Social & Behavioural Sciences,Group,3546,Betting on Mental Health: Investigating the Link Between Gambling and Anxiety in Teenagers,Roscommon,Roscommon Community College,Group (2)
Social & Behavioural Sciences,Group,3547,From Barriers To Belonging: Exploring Educational Disadvantage Through The Lens Of The Roma Community In Ireland.,Roscommon,Roscommon Community College,Group (3)
Social & Behavioural Sciences,Group,3548,Typing Speed Pressure in Online Tests,Dublin,Coláiste Phádraig CBS,Group (2)
Social & Behavioural Sciences,Group,3549,Social Media and Its Effects on People's Perception of Their Mental Health,Kerry,Meanscoil Nua an Leith Triuigh,Group (2)
Social & Behavioural Sciences,Group,3550,Tech vs Beings What is the most effective way to learn linguistics?,Dublin,Le Cheile Secondary School,Group (2)
Social & Behavioural Sciences,Group,3551,Frozen Feelings: Interpreting Emotions Visually,Dublin,Le Cheile Secondary School,Group (2)
Social & Behavioural Sciences,Group,3552,Checkmate the Brain,Dublin,Luttrellstown Community College,Group (3)
Social & Behavioural Sciences,Group,3553,"Lost Lines: What happened to Irelands railways, and which should be revived?",Cork,Millstreet Community School,Group (3)
Social & Behavioural Sciences,Group,3554,Uniform Confidence: Do School Uniforms Reduce Appearance-Related Pressure In Irish Secondary School?,Cork,Colaiste Treasa,Group (3)
Social & Behavioural Sciences,Group,3555,The cost of the Government Free Books scheme on you (the taxpayer) and the environment.,Cork,Mount St Michael,Group (3)
Social & Behavioural Sciences,Group,3556,The Mask of Masculinity,Dublin,Ardgillan Community College,Group (2)
Social & Behavioural Sciences,Group,3557,"Counting the Cost of Clean Water: An investigation into the social, environmental and economical cost of frequent boil water notices in the town of Macroom",Cork,St Mary's Secondary School Macroom,Group (3)
Social & Behavioural Sciences,Group,3600,Drawn Conclusions! A Comparative Analysis of Human Police Sketch Artists and AI generated police sketches in forensic Illustration and Suspect Identification.,Cavan,Virginia College,Group (2)
Social & Behavioural Sciences,Group,3601,Snaps and Sparks: Analysing Teen Dating Habits in the Modern Age of Snapchat,Donegal,St. Columba's College,Group (2)
Social & Behavioural Sciences,Group,3602,Likes vs Rights: Should Family Vloggers Be Subject to Child Labour Laws?,Cork,St Mary's Secondary School Macroom,Group (2)
Social & Behavioural Sciences,Group,3603,"Understanding the Impact of Allergies: Challenges, Awareness, and the Ripple Effect on Families and Society",Cork,St Mary's Secondary School Macroom,Group (2)
Social & Behavioural Sciences,Group,3604,Pixelated Realities: When Social Media Becomes the Escape,Cork,St Mary's Secondary School Mallow,Group (3)
Social & Behavioural Sciences,Group,3605,"Emoji Politics: How Informal Speeches, Emojis & Messages Affect Perception of Political Messages Among Irish Youth",Meath,Boyne Community School,Group (3)
Social & Behavioural Sciences,Group,3606,EcoEcho,Limerick,Coláiste Nano Nagle,Group (2)
Social & Behavioural Sciences,Group,3607,Bringing Return to Travel: Does the public want to use their bottle return deposits to top up their Leap Card?,Wicklow,Greystones Community College,Group (3)
Social & Behavioural Sciences,Group,3608,Experience vs Learning - Should theory test renewal be mandatory?,Galway,Coláiste Muire Máthair,Group (2)
Social & Behavioural Sciences,Group,3609,Chill Pill - A Daily Dose of Distraction,Donegal,Abbey Vocational School,Group (2)
Social & Behavioural Sciences,Group,3610,An investigation into how one small policy change with P.E. uniforms can affect a whole community,Tipperary,Cashel Community School,Group (2)
Social & Behavioural Sciences,Group,3611,Dyslexia in Ireland Under the Microscope,Westmeath,Our Lady's Bower,Group (3)
Social & Behavioural Sciences,Group,3612,"The Bias Behind the Bot: How AI Sees Gender — An Investigation of Gender Bias and Stereotyping in AI-Generated Text, Images, Voice, and Language",Dublin,St Mary's Holy Faith Glasnevin Secondary School,Group (3)
Social & Behavioural Sciences,Group,3613,Launching Ireland's Future: Astronomy for the Leaving Certificate,Cork,Christian Brothers College Cork,Group (2)
Social & Behavioural Sciences,Group,3614,"Myths, Media, and Misconceptions: Public Perceptions of Autism Causes",Dublin,St Joseph's Secondary School Rush,Group (3)
Social & Behavioural Sciences,Individual,3100,Elo Evolution: Redefining Chess Ratings,Westmeath,Moate Community School,Individual
Social & Behavioural Sciences,Individual,3101,Beyond the Book: A study of young people's attitudes to reading,Donegal,Gairmscoil Mhic Diarmada,Individual
Social & Behavioural Sciences,Individual,3102,Ear Vs Sight: Learning Irish trad music,Cork,Kinsale Community School,Individual
Social & Behavioural Sciences,Individual,3103,Lessons in Transition: Students’ understandings of change in the context of school transformation from single-sex to co-educational schooling.,Dublin,De La Salle College Churchtown,Individual
Social & Behavioural Sciences,Individual,3104,Conas gur féidir linn cailíní a spreagadh don innealtóireacht le clubanna STEM scoile?,Cork,Gaelcholáiste Charraig Ui Leighin,Individual
Social & Behavioural Sciences,Individual,3105,Why do people fear insects?,Cork,Christian Brothers College Cork,Individual
Social & Behavioural Sciences,Individual,3106,"Think Before You Flush, Brush, Wash",Cork,Christian Brothers College Cork,Individual
Social & Behavioural Sciences,Individual,3107,"Spectators, Safety, and Science: Investigating Community Views on the Enhanced Games",Cavan,St Bricin's College,Individual
Social & Behavioural Sciences,Individual,3108,Do Teenagers Trust AI More Than Their Parents or Teachers,Louth,St. Joseph's C.B.S.,Individual
Social & Behavioural Sciences,Individual,3200,Does being bilingual give you an advantage in the Irish education system?,Wicklow,Woodbrook College,Individual
Social & Behavioural Sciences,Individual,3201,And the 2026 Stripe YSTE Winner Is.. Leveraging an AI-based Project Success Predictor to Forecast Winners from Social and Behavioral Variables,Cork,Christ King Girls' Secondary School,Individual
Social & Behavioural Sciences,Individual,3202,"Reserved for a Reason: Exploring Public Perception and Misuse of Disabled Persons’ Parking Spaces and Permits, with Proposed Solutions",Cork,St Mary's Secondary School Macroom,Individual
Social & Behavioural Sciences,Individual,3203,Back In The Saddle: Resilience and recovery after horse-related injuries,Tipperary,Presentation Secondary School Thurles,Individual
Social & Behavioural Sciences,Individual,3204,Farming: The Next Generation,Waterford,Blackwater Community School,Individual
Social & Behavioural Sciences,Individual,3205,Brain Drain or Brain Game? - Assessing the Impact of Using Competition to Increase Learning,Wicklow,Blessington Community College,Individual
Social & Behavioural Sciences,Individual,3206,Ag Stiúradh Saoil an Oileán: Ag nochtú smaointe an t-aos óg maidir le cónaí ar oileáin chósta na hÉireann.,Donegal,Gairmscoil Mhic Diarmada,Individual
Social & Behavioural Sciences,Individual,3207,Identifying the Most Impactful Advertisements for Driving Climate Change Action.,Dublin,Firhouse Educate Together Secondary School,Individual
Social & Behavioural Sciences,Individual,3208,Keeping girls in the game: Analysing the Role of Coaching Styles in Soccer Dropout Rates,Cork,Coláiste Choilm,Individual
Social & Behavioural Sciences,Individual,3209,Policy vs Practice: Projected Impact of Ireland’s Vape Tax and Flavor Ban,Dublin,The Institute of Education,Individual
Social & Behavioural Sciences,Individual,3210,Has participation in the Young Scientist and Technology Exhibition changed between 2010 and 2025?,Clare,Mary Immaculate Secondary School,Individual
Social & Behavioural Sciences,Individual,3211,"A Study on the Economic Effects of Removal of Rent Pressure Zones on Dublin Housing Supply, Demand, and Price.",Dublin,Bremore Educate Together Secondary School,Individual
Social & Behavioural Sciences,Individual,3212,Dyslexic Lens,Dublin,St Josephs College,Individual
Social & Behavioural Sciences,Individual,3213,"The Pressure Paradox: How Academic Stress Undermines Fine Motor Skills - Evidence, Mechanisms and Solutions.",Kerry,Presentation Secondary School Tralee,Individual
Social & Behavioural Sciences,Individual,3214,Discussing the stigma around menstruation and the access to resources for young girls in Irish secondary schools,Cork,Bandon Grammar School,Individual
Social & Behavioural Sciences,Individual,3215,Think less with AI in class,Sligo,Ursuline College,Individual
Social & Behavioural Sciences,Individual,3216,How did Covid infect our language?,Limerick,Villiers Secondary School,Individual
Social & Behavioural Sciences,Individual,3217,Developing A Personalised Diagnostic Model: For The Detection of Bullying Behaviors in Secondary Schools,Kerry,Mercy Secondary School Mounthawk,Individual
Social & Behavioural Sciences,Individual,3218,Are potentially harmful parenting practices normalised in kid-influencing industries ?A content-and audience-perception study,Laois,Mountrath Community School,Individual
Social & Behavioural Sciences,Individual,3219,"Unmasking Potential: Developing a Flagging Tool for Autism in High-Masking, Bright Girls",Meath,Coláiste Rioga,Individual
Social & Behavioural Sciences,Individual,3220,"Does uniform stop bullying, or do they just change what kind of bullying happens",Roscommon,Roscommon Community College,Individual
Social & Behavioural Sciences,Individual,3221,Is a Lack of Education a Leading Cause of Recreational Drug Misuse?,Cork,Glanmire Community College,Individual
Social & Behavioural Sciences,Individual,3222,The Cost of Progress: AI’s impact on the water supply,Limerick,Coláiste Nano Nagle,Individual
Social & Behavioural Sciences,Individual,3223,"Can our brain alone explain our thoughts and feelings, or is there something more to being conscious?",Meath,"St. Joseph's Secondary School, Navan",Individual
Social & Behavioural Sciences,Individual,3224,Alleviating Pronunciation Difficulties for English Learners,Dublin,St Kilian's Deutsche Schule,Individual
Social & Behavioural Sciences,Individual,3225,Comparing iPad Touchscreen and Computer Keyboard Efficiency and the Role of Regular Practice,Dublin,St Joseph's Secondary School Rush,Individual
Social & Behavioural Sciences,Individual,3300,"Investigating exposure, intergroup threat and rejection in adolescent male attitude development",Westmeath,Coláiste Mhuire Mullingar,Individual
Social & Behavioural Sciences,Individual,3301,"PolitiClear - ""Politics made clear.""",Westmeath,Coláiste Mhuire Mullingar,Individual
Social & Behavioural Sciences,Individual,3302,A Fairer Test? Comparing Ireland’s Colour Vision Screening with Task-Based alternatives.,Cork,St Mary's Secondary School Macroom,Individual
Social & Behavioural Sciences,Individual,3303,Factors Affecting Continuation of Extracurricular Activities from Primary to Secondary School,Kildare,St Pauls Secondary School,Individual
Social & Behavioural Sciences,Individual,3304,"Financial Rationalisations, Gender, and Risk: Understanding the “Girl Maths” Phenomenon",Cork,St Mary's Secondary School Mallow,Individual
Social & Behavioural Sciences,Individual,3305,ReThread,Cork,Millstreet Community School,Individual
Social & Behavioural Sciences,Individual,3306,The Unseen Healthcare - Trans Healthcare in Ireland,Wicklow,Greystones Community College,Individual
Social & Behavioural Sciences,Individual,3307,"AccessiRead: Making Exams Accessible, for Everyone",Cork,Bruce College,Individual
Social & Behavioural Sciences,Individual,3308,Raising Awareness About the Risks of Radiation Exposure Through X-Rays,Cork,St Mary's Secondary School Macroom,Individual
Social & Behavioural Sciences,Individual,3309,An Investigation into the osmotic power plant and its implications for Ireland,Westmeath,Coláiste Mhuire Mullingar,Individual
Social & Behavioural Sciences,Individual,3310,How external rewards can increase motivation and performance in Irish teenagers in hurling and camogie,Westmeath,St Joseph's Secondary School,Individual
Social & Behavioural Sciences,Individual,3311,Assessing how well Junior Cycle prepares students for Leaving Cycle,Tipperary,Cashel Community School,Individual
Social & Behavioural Sciences,Individual,3312,Fair Or Foul,Galway,Presentation College Headford,Individual
Social & Behavioural Sciences,Individual,3313,“One more haul…”: A study on overconsumption from the mind of a young consumer.,Laois,Dunamase College (Colaiste Dhun Masc),Individual
Social & Behavioural Sciences,Individual,3314,Ag Mairteáil an Stoirm : an bhfuil tithe na hÉireann ullamh do Athrú Aeráide?,Kerry,Gaelcholáiste Chiarraí,Individual
Social & Behavioural Sciences,Individual,3315,Comparing the relationship between use of social media and body dissatisfaction among female and male adolescents,Cork,Coláiste Choilm,Individual
Social & Behavioural Sciences,Individual,3316,"Cash, choices and costs: Do Irish households invest well?",Dublin,Christian Brothers College Monkstown,Individual
Social & Behavioural Sciences,Individual,3317,How does being disabled and queer in second level and higher education affect mental health?,Roscommon,Roscommon Community College,Individual
Social & Behavioural Sciences,Individual,3318,What is the Probability of Maintaining Living Standards after Age 66 in Ireland?—- A Gender and Income Analysis,Dublin,Rathdown School,Individual
Social & Behavioural Sciences,Individual,3319,Does Reading on Screens Make Learning Harder for Teens?,Antrim,St Dominic's High School,Individual
Technology,Group,5400,Privacy vs Protection: Know Your Net,Westmeath,Coláiste Mhuire Mullingar,Group (2)
Technology,Group,5401,Poor women’s telescope in this economy!,Galway,Presentation College Headford,Group (2)
Technology,Group,5402,"‘Shine Bright, Clean Right’ - The impact of dirt/debris on solar panel efficiency",Limerick,Castletroy College,Group (2)
Technology,Group,5403,Design and Development of a Solar-Powered SMART Buoy as a Sustainable Solution for River Health,Cork,St Mary's Secondary School Mallow,Group (3)
Technology,Group,5404,Helper AI,Wicklow,Greystones Community College,Group (2)
Technology,Group,5405,The Sting Mapper,Dublin,St Joseph's Secondary School Rush,Group (2)
Technology,Group,5406,BINBOTS,Dublin,St Joseph's Secondary School Rush,Group (2)
Technology,Group,5500,Evolve Era: From Symptom Tracking to Interoperable Health Insights - Identifying Patterns in Patient Data to Support Evidence-Based Care.,Mayo,Mount St Michael,Group (2)
Technology,Group,5501,AQUA-D (Automated Quick Underwater Assistance Device): Next-Generation Smart Goggles with Eye Detection and Rescue Support,Cork,St Mary's Secondary School Mallow,Group (3)
Technology,Group,5502,EcoSprout,Mayo,Mount St Michael,Group (2)
Technology,Group,5503,TempoTeacher,Kerry,Presentation Secondary School Listowel,Group (3)
Technology,Group,5504,How AI can combat disinformation and deepfakes online,Dublin,Castleknock College,Group (3)
Technology,Group,5505,FluxChess: A Real-Time Dynamic Chess Tutor That Teaches Through Personalised Feedback,Dublin,Stratford College,Group (2)
Technology,Group,5506,"Shine Bright, Charge Right: An efficient solar-powered phone case that converts solar energy into electrical power.",Cork,Coláiste Choilm,Group (2)
Technology,Group,5507,Grammar Maketh Man: Coding a Chrome extension to optimise ChatGPT queries.,Limerick,Coláiste Chiaráin,Group (3)
Technology,Group,5508,Scratch-ing the Surface: How Scratch is Shaping Junior Cert Coding,Westmeath,Coláiste Mhuire Mullingar,Group (3)
Technology,Group,5509,Investigating The Effectiveness of Boosting Solar Panels With Mirrors In the Climate of Ireland,Cork,Coláiste Choilm,Group (3)
Technology,Group,5510,SeaScanner: A Practical Solution to our Overfishing Crisis,Cork,Scoil Mhuire gan Smal,Group (3)
Technology,Group,5511,An bhfuil an spás ag rith amach orainn? – Imscrúdú eolaíoch ar theorainneacha stórála sonraí domhanda,Wexford,Meanscoil Gharman,Group (2)
Technology,Group,5512,Automated plant watering system,Roscommon,Coláiste Chiaráin,Group (2)
Technology,Group,5513,VisitWise is an AI-powered symptom checker to reduce GP visits.,Westmeath,Coláiste Mhuire Mullingar,Group (3)
Technology,Group,5514,TrustLens - an AI-powered browser plugin for detecting bias,Louth,De La Salle College Dundalk,Group (2)
Technology,Group,5515,"Can combining AI, digital wellness tools and peer support in the form of a web app help young people open up about their mental health?",Dublin,Gaelcholáiste Reachrann,Group (3)
Technology,Group,5516,AI-Powered Recycling Sorter for a Sustainable Future,Clare,Ennistymon Community School,Group (3)
Technology,Group,5517,Algorithmic Bias in AI Generated Imagery: Reinforcing Stereotypes in Sports and Society,Clare,Ennistymon Community School,Group (2)
Technology,Group,5518,Thermo-charge Your Workout: Using Thermo-electrics to Generate Electric Energy from Body Heat,Cork,Mount St Michael,Group (2)
Technology,Group,5519,Can we use Machine Learning to design more efficient Hydroelectric Turbines?,Cork,Scoil Mhuire gan Smal,Group (2)
Technology,Group,5520,The Coop-erative Mix: Adding chicken feathers and spent diatomaceous earth to plaster,Sligo,Ursuline College,Group (3)
Technology,Group,5521,Stealth Drone: Increasing Flight Time and Reducing Noise Using Glider-Inspired Design,Dublin,Bremore Educate Together Secondary School,Group (2)
Technology,Group,5522,Creation of a Portable Marine Power System,Louth,St Mary's Diocesan School,Group (2)
Technology,Group,5523,AI in action: A smarter way to learn,Westmeath,Our Lady's Bower,Group (3)
Technology,Group,5524,Coral Reef Recovery: An investigation using modern technology to prevent coral reef bleaching.,Westmeath,Our Lady's Bower,Group (2)
Technology,Group,5525,Does the use of drones on Irish farms reduce animal stress while improving productivity ?,Tipperary,Cistercian College Roscrea,Group (2)
Technology,Group,5526,Investigating AI-Supported Questioning to Deepen Student Understanding,Dublin,De La Salle College Churchtown,Group (2)
Technology,Group,5527,Plastics Under Pressure: Comparing injected moulded and 3D-printed plastic household items,Cork,Presentation Secondary School Ballyphehane,Group (2)
Technology,Group,5528,VisionPro Visor,Meath,St Patrick's Classical School,Group (3)
Technology,Group,5529,Wireless Charging,Wicklow,St David's Holy Faith Secondary,Group (3)
Technology,Group,5530,Watts at the door,Carlow,St Mary's Academy CBS,Group (3)
Technology,Group,5531,AQD 17,Carlow,St Mary's Academy CBS,Group (3)
Technology,Group,5532,"TrailTalk is an AI-powered tourism app where users unlock hidden stories, share experiences, and explore personalised results through GPS and sentiment analysis of community-generated content.",Tyrone,Cookstown High School,Group (2)
Technology,Group,5533,"EyeFocus+: An Evidence-Based Digital Approach to Myopia Management, Surgical Interventions, and Long-Term Eye Health Enhancement",Mayo,Mount St Michael,Group (2)
Technology,Group,5534,Swift Block,Meath,St Patrick's Classical School,Group (3)
Technology,Group,5535,Can detecting Asian hornets' buzzing frequencies to alert beekeepers save the bees?,Dublin,Firhouse Educate Together Secondary School,Group (3)
Technology,Group,5536,Specter: Secure Proof of Evidence via Chain-based Technology that is Energy efficient and Resourceful,Kerry,CBS The Green,Group (2)
Technology,Group,5537,The Key to Security; Unpickable lock with magnets,Galway,Galway Educate Together Secondary School,Group (3)
Technology,Group,5600,Sheep Strength II: Using Sheep Wool to Reinforce Concrete,Sligo,Ursuline College,Group (2)
Technology,Group,5601,PowerPredict: Predicting Outages up to 10 days in advance,Limerick,Coláiste Chiaráin,Group (2)
Technology,Group,5602,Studytok,Tipperary,Rockwell College,Group (2)
Technology,Group,5603,Súile,Limerick,Coláiste Chiaráin,Group (2)
Technology,Group,5604,Tact AI: Enhancing Adaptive Learning in AI through Tactile Feedback in Dynamic Environments,Dublin,The Institute of Education,Group (2)
Technology,Group,5605,Dynamic Future Proofing of Open-Source Software using Machine Learning Powered Techniques (SecureOSS),Dublin,St Andrews College,Group (2)
Technology,Group,5606,Affordable Prosthetic Arm Mk2,Kilkenny,Kilkenny College,Group (2)
Technology,Group,5607,UV index calculation: Integrating Cloud Classification and Machine Learning for Precision in UV Forecasting,Dublin,St Joseph's Secondary School Rush,Group (3)
Technology,Group,5608,GaitKeeper,Westmeath,Coláiste Mhuire Mullingar,Group (2)
Technology,Group,5609,Eco: Designing a safer alternative to manhole covers in a slated slurry tank,Cork,De La Salle College,Group (2)
Technology,Individual,5100,"MyWorld: Speak, Connect, Belong",Limerick,Coláiste Nano Nagle,Individual
Technology,Individual,5101,Chirp - A low cost approach to bat monitoring using AI audio analysis,Limerick,Coláiste Chiaráin,Individual
Technology,Individual,5102,"Lights In My Eyes: A novel glare minimising, shrouded bike light suitable for Irish road conditions",Kerry,St. Michael's College,Individual
Technology,Individual,5103,EyeTrackSafe: AI-Based Driver Monitoring System for Preventing Fatigue and Distraction-Related Accidents,Cork,Coláiste an Spioraid Naoimh,Individual
Technology,Individual,5104,PlantRight Ireland: AI Solutions for Carbon Reduction through Tree Planting,Dublin,St Andrews College,Individual
Technology,Individual,5105,NeuroSync: AI Powered Support for Cognitive and Neurological Care,Galway,Coláiste Muire Máthair,Individual
Technology,Individual,5200,NextStep: The JC Study Engine That Learns With You,Cork,Christian Brothers College Cork,Individual
Technology,Individual,5201,Can a standalone glucose monitoring device with improved alerts reduce missed hypoglycemic events?,Dublin,Castleknock College,Individual
Technology,Individual,5202,How Graphene-Infused Thermal Paste can be utilized for Advanced Cooling Systems,Meath,Ashbourne Community School,Individual
Technology,Individual,5203,M.A.N.T.I.S “Muon Analysis for Non-Invasive Tomography and Image Simulation”,Kildare,Clongowes Wood College,Individual
Technology,Individual,5204,S.O.R.A. Sensory Oriented Response Assistant. Robotics as a tool in special education. Róbataic mar uirlis in oideachas speisialta.,Donegal,Pobalscoil Ghaoth Dobhair,Individual
Technology,Individual,5205,Smarter Cancer Staging: Using Machine Learning to Find What Stage a Cancer Is In,Westmeath,Athlone Community College,Individual
Technology,Individual,5206,Sábháil - Autonomous UAV response to emergency incidents,Dublin,St Joseph's Secondary School Rush,Individual
Technology,Individual,5207,Dementia Shield,Cork,Scoil Mhuire Kanturk,Individual
Technology,Individual,5208,Artificial Symposiasts: An AI Framework for Ethical Debate,Dublin,The Institute of Education,Individual
Technology,Individual,5209,AI-Powered Network Security & Resilience Tool: Automated Path Analysis with Dynamic Routing Protection,Dublin,Gonzaga College,Individual
Technology,Individual,5210,Chess Instrument for analysing a game through a camera pointed at a chess board,Cork,St Francis Capuchin College,Individual
Technology,Individual,5211,Ignition Protocol : A genetic fuel algorithm,Cork,Christian Brothers College Cork,Individual
Technology,Individual,5212,FutureDev,Meath,St Patrick's Classical School,Individual
Technology,Individual,5213,A New Method of Identifying Braess’ Paradox,Kerry,Mercy Secondary School Mounthawk,Individual
Technology,Individual,5214,"GeoGuard: Geofencing Technology to Detect and Prevent Illegal, Unreported and Unregulated Fishing in Irish Waters",Dublin,Blackrock College,Individual
Technology,Individual,5215,Shaky Science! An investigation of e-scooter/bike vibrations,Dublin,Santa Sabina Dominican College,Individual
Technology,Individual,5216,Developing a Compression Pipeline for deploying Neural Networks in Wearable Sleep Apnoea Detection.,Kildare,Celbridge Community School,Individual
Technology,Individual,5217,AI-Powered Portfolio Management with News-Driven Market Impact Prediction,Westmeath,Coláiste Mhuire Mullingar,Individual
Technology,Individual,5218,AI-Based Defence System Against Asian Hornet Predation on Honeybee Colonies,Kerry,CBS The Green,Individual
Technology,Individual,5219,Beyond Binary: √NOT and the Future of Computing,Dublin,Mount Sackville Secondary School,Individual
Technology,Individual,5220,Solar-Powered Low-Cost Robot River Skimmer for Oil-Based Pollution Removal,Dublin,St Andrews College,Individual
Technology,Individual,5221,Ecofi: A Game to Encourage Students to Lower Their Electricity Usage,Dublin,Clonkeen College,Individual
Technology,Individual,5222,Vertical Axis Wind Turbines for Motorways,Kerry,CBS The Green,Individual
Technology,Individual,5223,An Investigation into the Impact of Training Data Variations on Accuracy and reliability in Machine Learning Models,Cork,Davis College,Individual
Technology,Individual,5300,Gait Guard,Donegal,Loreto Secondary School Letterkenny,Individual
Technology,Individual,5301,Prometheus: A distributed record of time-stamped and provably authentic photographic images,Dublin,Coláiste Ghlór na Mara,Individual
Technology,Individual,5302,CAPILL: Medicine Dispenser for People with Reduced Hand Mobility,Longford,Lanesboro Community College,Individual
Technology,Individual,5303,A Multiscale Hopfield-Based Model Linking Molecular Pathology to Network Instability and Cognitive Decline in Alzheimer’s Disease,Dublin,Loreto College The Green,Individual
Technology,Individual,5304,Optimising Computation: Investigating Speed and Efficiency in Computing and the Role of Dedicated Hardware,Kildare,St Pauls Secondary School,Individual
Technology,Individual,5305,Smart Embedded Clothing for the Visually Impaired,Cork,Davis College,Individual
Technology,Individual,5306,TURCAST: Forecasting turlough depths through machine learning and data analysis,Clare,Mary Immaculate Secondary School,Individual
Technology,Individual,5307,RoadSense: Piezo-Powered Energy Harvesting from Traffic,Westmeath,Moate Community School,Individual
Technology,Individual,5308,Optima - Investigating AI-Driven Enhancements for Online Reading Clarity.,Limerick,Ardscoil Ris,Individual
Technology,Individual,5309,"Sherlock: An improved, universal AI model for the automatic evaluation of bias in news media",Cork,Kinsale Community School,Individual
Technology,Individual,5310,RePortfolio: An AI-Driven Financial Portfolio Reporter,Wicklow,St. Gerard's School,Individual
Technology,Individual,5311,Project B.E.E. Bee Emulation Engineering,Kerry,Mercy Secondary School Mounthawk,Individual
Technology,Individual,5312,"AIRID: Ag úsáid córas nua, le cabhair intleachta saorga, chun canúintí díothaithe na Gaeilge a athchruthú.",Galway,Coláiste Naomh Eoin,Individual
Technology,Individual,5313,VoiceKey: Unlocking Security with Spectral Analysis,Dublin,The Institute of Education,Individual
